date,species,tag,lat,lon,length_cm,weight_kg,Quantity,Event,Boat,source,type,Water Temp
23/04/2000,BLUE MARLIN,S113014,-31.8167,115.2833,427,190,1,,,GFAA Tagging Program,tagged,
3/03/2001,BLUE MARLIN,A359133,-31.8167,115.2833,259,180,1,,,GFAA Tagging Program,tagged,
4/03/2001,STRIPED MARLIN,A308900,-32.0667,115.2333,220,80,1,,,GFAA Tagging Program,tagged,
5/03/2001,BLUE MARLIN,A238456,-32.0667,115.2333,250,120,1,,,GFAA Tagging Program,tagged,
10/03/2001,BLUE MARLIN,A359054,-31.9333,115.25,,140,1,,,GFAA Tagging Program,tagged,
28/03/2001,BLUE MARLIN,A359073,-32.0667,115.2333,,160,1,,,GFAA Tagging Program,tagged,
15/04/2001,BLUE MARLIN,S158020,-32.0667,115.2333,350,150,1,,,GFAA Tagging Program,tagged,
7/02/2002,BLUE MARLIN,S113088,-32.0333,115.1667,366,180,1,,,GFAA Tagging Program,tagged,
2/03/2002,BLUE MARLIN,S191541,-32.0333,115.1667,,180,1,,,GFAA Tagging Program,tagged,
23/03/2002,BLUE MARLIN,S171254,-32.0667,115.2333,0,200,1,,,GFAA Tagging Program,tagged,
23/03/2002,STRIPED MARLIN,S78765,-32.0667,115.2333,280,120,1,,,GFAA Tagging Program,tagged,
23/03/2002,BLUE MARLIN,S92791,-31.9333,115.25,304,180,1,,,GFAA Tagging Program,tagged,
2/03/2003,BLACK MARLIN,A402197,-32.1,115.2,320,330,1,,,GFAA Tagging Program,tagged,
2/03/2003,BLACK MARLIN,B000741,-32.0667,115.2333,240,120,1,,,GFAA Tagging Program,tagged,
3/03/2003,BLUE MARLIN,B000731,-32.0667,115.2333,300,220,1,,,GFAA Tagging Program,tagged,
15/03/2003,BLUE MARLIN,B001325,-31.8833,115.1833,0,230,1,,,GFAA Tagging Program,tagged,
26/03/2003,BLUE MARLIN,S158317,-32.0667,115.2333,300,200,1,,,GFAA Tagging Program,tagged,
28/02/2004,BLUE MARLIN,S78772,-31.9333,115.35,300,300,1,,,GFAA Tagging Program,tagged,
10/03/2006,BLUE MARLIN,A417995,-32.0667,115.2333,240,120,1,,,GFAA Tagging Program,tagged,
5/03/2007,STRIPED MARLIN,S90157,-32.0667,115.2333,250,150,1,,,GFAA Tagging Program,tagged,
13/03/2007,BLUE MARLIN,A410342,-32.1,115.1667,0,210,1,,,GFAA Tagging Program,tagged,
28/02/2010,STRIPED MARLIN,A300976,-32,115.2667,50,3,1,,,GFAA Tagging Program,tagged,
28/02/2010,STRIPED MARLIN,A300975,-32,115.2667,0,4,1,,,GFAA Tagging Program,tagged,
21/01/2011,BLACK MARLIN,B000778,-31.9333,115.1667,0,120,1,,,GFAA Tagging Program,tagged,
9/02/2011,BLUE MARLIN,B014581,-32.2667,115.1333,,220,1,,,GFAA Tagging Program,tagged,
26/02/2011,BLUE MARLIN,A417992,-32.05,115.3167,,170,1,,,GFAA Tagging Program,tagged,
4/03/2011,BLUE MARLIN,B014335,-32.0833,115.1833,300,270,1,,,GFAA Tagging Program,tagged,
5/03/2011,BLACK MARLIN,B000085,-32.0667,115.1833,165,50,1,,,GFAA Tagging Program,tagged,
7/03/2011,BLACK MARLIN,B000740,-32.1833,115.1667,200,60,1,,,GFAA Tagging Program,tagged,
19/01/2012,BLUE MARLIN,B014567,-31.9667,115.15,280,200,1,,,GFAA Tagging Program,tagged,
28/01/2012,BLUE MARLIN,B033190,-32,115,240,175,1,,,GFAA Tagging Program,tagged,
28/01/2012,STRIPED MARLIN,B065629,-32.1667,115.0167,240,60,1,,,GFAA Tagging Program,tagged,
28/01/2012,BLUE MARLIN,B033189,-32,115,220,165,1,,,GFAA Tagging Program,tagged,
12/02/2012,BLUE MARLIN,B066316,-32.0667,115.05,,250,1,,,GFAA Tagging Program,tagged,
30/12/2012,STRIPED MARLIN,B072521,-32.0333,115.15,300,100,1,,,GFAA Tagging Program,tagged,
30/12/2012,BLUE MARLIN,B053935,-32.1333,115.1,290,140,1,,,GFAA Tagging Program,tagged,
23/02/2013,BLUE MARLIN,B006318,-31.9667,115.2167,230,100,1,,,GFAA Tagging Program,tagged,
23/03/2013,STRIPED MARLIN,A557061,-31.9833,115.1833,230,80,1,,,GFAA Tagging Program,tagged,
23/03/2013,STRIPED MARLIN,B087424,-31.9,115.15,250,55,1,,,GFAA Tagging Program,tagged,
24/03/2013,BLACK MARLIN,B072874,-32.0833,115.1833,220,80,1,,,GFAA Tagging Program,tagged,
24/03/2013,STRIPED MARLIN,B072523,-32.0833,115.1833,245,60,1,,,GFAA Tagging Program,tagged,
8/02/2015,STRIPED MARLIN,B072897,-31.8833,115,220,70,1,,,GFAA Tagging Program,tagged,
8/02/2015,STRIPED MARLIN,B033176,-31.9833,114.9667,190,100,1,,,GFAA Tagging Program,tagged,
8/02/2015,STRIPED MARLIN,B014572,-31.9833,114.9667,160,75,1,,,GFAA Tagging Program,tagged,
8/02/2015,BLUE MARLIN,B096882,-31.9167,114.9833,260,180,1,,,GFAA Tagging Program,tagged,
24/02/2015,BLUE MARLIN,B065642,-31.9667,115.1667,250,150,1,,,GFAA Tagging Program,tagged,
28/02/2015,STRIPED MARLIN,B097261,-31.9167,115.2167,228,100,1,,,GFAA Tagging Program,tagged,
28/02/2015,BLUE MARLIN,B072526,-31.9167,115.2167,250,140,1,,,GFAA Tagging Program,tagged,
28/02/2015,STRIPED MARLIN,B000739,-31.9833,115.1667,240,100,1,,,GFAA Tagging Program,tagged,
2/03/2015,BLUE MARLIN,B072533,-31.9667,115.2333,240,130,1,,,GFAA Tagging Program,tagged,
29/03/2015,BLUE MARLIN,B042499,-32,115.2,290,205,1,,,GFAA Tagging Program,tagged,
3/04/2015,BLUE MARLIN,B014328,-32.1,115.1667,200,80,1,,,GFAA Tagging Program,tagged,
16/01/2016,BLUE MARLIN,B101755,-31.8833,115.0833,,350,1,,,GFAA Tagging Program,tagged,
20/02/2016,BLUE MARLIN,B096884,-31.9333,115.0667,240,95,1,,,GFAA Tagging Program,tagged,
21/02/2016,STRIPED MARLIN,B099678,-31.8667,115.0667,180,50,1,,,GFAA Tagging Program,tagged,
7/03/2016,BLUE MARLIN,B097301,-32.1,115.2,320,200,1,,,GFAA Tagging Program,tagged,
4/02/2017,BLUE MARLIN,B099679,-31.8833,115.0667,280,180,1,,,GFAA Tagging Program,tagged,
13/02/2017,BLUE MARLIN,B074411,-31.9667,115.1333,250,150,1,,,GFAA Tagging Program,tagged,
19/02/2017,BLUE MARLIN,B072418,-31.7333,114.95,,130,1,,,GFAA Tagging Program,tagged,
6/03/2017,BLUE MARLIN,B097342,-32.0667,115.1667,275,180,1,,,GFAA Tagging Program,tagged,
6/03/2017,STRIPED MARLIN,B097315,-31.9667,115.1833,200,120,1,,,GFAA Tagging Program,tagged,
6/03/2017,BLACK MARLIN,B097341,-32.1,115.2,264,150,1,,,GFAA Tagging Program,tagged,
18/02/2018,STRIPED MARLIN,B107798,-32.1167,114.8833,240,80,1,,,GFAA Tagging Program,tagged,
14/02/2021,BLUE MARLIN,A618116,-31.8833,115.1833,,200,1,,,GFAA Tagging Program,tagged,
14/02/2021,BLUE MARLIN,B119403,-31.8833,115.1833,250,150,1,,,GFAA Tagging Program,tagged,
14/02/2021,BLUE MARLIN,B096892,-31.8833,115.1667,240,180,1,,,GFAA Tagging Program,tagged,
