date,tag,type,lat,lon,score,bands,band_mean,sst_C,sst_score,sst_gradient,sst_front_score,front_corridor_score,chl_mgm3,chl_score,chl_curvature_score,ssh_m,ssh_score,mld_m,mld_score,current_speed_ms,current_dir_deg,current_score,convergence_score,divergence,sst_intrusion_score,depth_m,depth_score,shelf_break_score,nearest_zone_score
2000-04-23,S113014,tagged,-31.8167,115.2833,0.789,2,1.0,23.76,0.954,0.2151,0.744,0.954,0.1778,0.869,1.0,0.5817,0.636,43.3,0.762,0.163,159.4,0.762,0.402,0.00885,0.29,108,0.923,0.091,0.904
2001-03-03,A359133,tagged,-31.8167,115.2833,0.79,3,1.0,22.96,0.994,0.1903,0.894,0.994,0.1643,0.952,0.012,0.3351,0.713,16.9,1.0,0.1248,200.9,0.428,0.163,0.00793,0.29,108,0.923,0.091,0.906
2001-03-05,A238456,tagged,-32.0667,115.2333,0.79,3,0.7,22.57,1.0,0.0943,0.442,1.0,0.1302,0.989,0.28,0.3473,0.665,11.0,1.0,0.1961,204.3,1.0,0.853,-0.01007,0.29,166,1.0,0.176,0.907
2001-03-10,A359054,tagged,-31.9333,115.25,0.862,4,0.775,22.26,0.99,0.1304,0.475,0.99,0.1358,0.999,1.0,0.3171,0.865,42.9,0.681,0.0852,318.2,0.13,0.055,0.0177,0.433,147,1.0,0.69,0.92
2001-03-28,A359073,tagged,-32.0667,115.2333,0.842,5,0.82,22.05,0.969,0.0604,0.341,0.969,0.2206,0.55,0.005,0.4508,0.642,15.1,1.0,0.1729,177.4,0.876,0.106,0.02319,0.29,166,1.0,0.176,0.895
2001-04-15,S158020,tagged,-32.0667,115.2333,0.847,4,0.775,22.62,1.0,0.051,0.316,1.0,0.1394,1.0,0.349,0.4245,0.688,14.3,1.0,0.3432,189.2,0.999,0.007,0.01801,0.29,166,1.0,0.176,0.902
2002-02-07,S113088,tagged,-32.0333,115.1667,0.826,2,0.8,21.73,0.915,0.0453,0.1,0.591,0.1155,0.901,0.62,0.2475,0.679,23.3,0.946,0.5849,181.3,0.937,0.132,0.00824,0.29,386,1.0,1.0,0.924
2002-03-02,S191541,tagged,-32.0333,115.1667,0.819,2,0.8,21.71,0.91,0.065,0.47,0.91,0.0977,0.729,1.0,0.2234,0.638,23.0,0.968,0.3566,186.0,0.901,0.509,-0.00397,0.29,386,1.0,1.0,0.892
2002-03-23,S171254,tagged,-32.0667,115.2333,0.857,5,0.82,21.82,0.934,0.0996,0.596,0.934,0.1379,0.999,0.655,0.3516,0.765,40.1,0.765,0.0675,189.9,0.464,0.173,0.0119,0.29,166,1.0,0.176,0.942
2002-03-23,S92791,tagged,-31.9333,115.25,0.942,6,0.85,22.19,0.986,0.3796,0.986,0.986,0.164,0.941,0.656,0.3577,0.813,38.0,0.747,0.083,179.2,0.619,0.441,0.00153,0.29,147,1.0,0.69,0.942
