date,tag,catch_lat,catch_lon,catch_score,catch_bands,catch_bmean,peak_lat,peak_lon,peak_score,peak_bands,peak_bmean,offset_nm,offset_lat_nm,offset_lon_nm,catch_sst_C,peak_sst_C,diff_sst_C,catch_chl,peak_chl,diff_chl,catch_mld,peak_mld,diff_mld,catch_ssh,peak_ssh,diff_ssh,catch_cur_speed,peak_cur_speed,diff_cur_speed,catch_depth,peak_depth,diff_depth,catch_s_sst,peak_s_sst,catch_s_sst_front,peak_s_sst_front,catch_s_front_corridor,peak_s_front_corridor,catch_s_chl,peak_s_chl,catch_s_ssh,peak_s_ssh,catch_s_mld,peak_s_mld,catch_s_current,peak_s_current,catch_s_convergence,peak_s_convergence,catch_s_depth,peak_s_depth,catch_s_shelf_break,peak_s_shelf_break
2000-04-23,S113014,-31.8167,115.2833,0.858,2,1.0,-31.825,115.225,0.916,3,0.833,3.0,-0.5,-3.0,23.76,23.89,0.13,0.1778,0.1656,-0.0122,43.3,43.3,0.0,0.5817,0.5817,0.0,0.163,0.163,0.0,799,194,-605,0.919,0.902,0.718,0.455,0.919,0.902,0.869,0.943,0.636,0.639,0.762,0.642,0.738,0.791,0.4,0.163,1.0,1.0,0.091,0.086
2001-03-03,A359133,-31.8167,115.2833,0.838,4,0.85,-31.775,115.225,0.883,5,0.9,3.9,2.5,-3.0,22.96,23.09,0.13,0.1643,0.148,-0.0163,16.9,15.6,-1.3,0.3351,0.3388,0.0037,0.1248,0.0658,-0.059,799,422,-377,0.99,0.982,0.89,0.607,0.99,0.982,0.952,0.994,0.713,0.73,1.0,1.0,0.428,0.489,0.163,0.065,1.0,1.0,0.091,0.044
2001-03-05,A238456,-32.0667,115.2333,0.809,4,0.644,-32.125,115.325,0.889,3,0.831,5.8,-3.5,4.7,22.57,22.39,-0.18,0.1302,0.1465,0.0163,11.0,10.5,-0.5,0.3473,0.3589,0.0116,0.1961,0.086,-0.1101,46,29,-17,1.0,0.998,0.442,0.248,1.0,0.748,0.989,0.991,0.665,0.704,1.0,1.0,1.0,0.485,0.853,0.275,1.0,1.0,0.176,0.14
2001-03-10,A359054,-31.9333,115.25,0.868,5,0.706,-31.925,115.175,0.892,5,0.8,3.8,0.5,-3.8,22.26,22.11,-0.15,0.1358,0.1487,0.0129,42.9,52.3,9.4,0.3171,0.315,-0.0021,0.0852,0.1281,0.0429,126,120,-6,0.99,0.978,0.475,0.341,0.99,0.978,0.999,0.972,0.865,0.858,0.681,0.612,0.13,0.478,0.055,0.13,1.0,1.0,0.69,1.0
2001-03-28,A359073,-32.0667,115.2333,0.828,5,0.82,-32.125,115.325,0.882,3,0.798,5.8,-3.5,4.7,22.05,21.87,-0.18,0.2206,0.2809,0.0603,15.1,19.2,4.1,0.4508,0.4657,0.0149,0.1729,0.2135,0.0406,46,29,-17,0.969,0.941,0.341,0.805,0.969,0.941,0.55,0.349,0.642,0.658,1.0,1.0,0.876,0.909,0.106,0.21,1.0,1.0,0.176,0.14
2001-04-15,S158020,-32.0667,115.2333,0.899,5,0.715,-32.125,115.175,0.936,4,0.485,4.6,-3.5,-3.0,22.62,22.64,0.02,0.1394,0.1415,0.0021,14.3,15.7,1.4,0.4245,0.3998,-0.0247,0.3432,0.5117,0.1685,46,42,-4,0.999,0.999,0.316,0.13,0.999,0.749,1.0,1.0,0.688,0.668,1.0,1.0,0.999,0.999,0.007,0.023,1.0,1.0,0.176,0.333
2002-02-07,S113088,-32.0333,115.1667,0.906,3,0.672,-32.075,115.175,0.94,4,0.604,2.5,-2.5,0.4,21.73,21.75,0.02,0.1155,0.1171,0.0016,23.3,24.0,0.7,0.2475,0.2445,-0.003,0.5849,0.6255,0.0406,43,46,3,0.915,0.918,0.1,0.07,0.591,0.459,0.901,0.915,0.679,0.676,0.946,0.942,0.937,0.912,0.132,0.024,1.0,1.0,1.0,0.289
2002-03-02,S191541,-32.0333,115.1667,0.803,3,0.69,-31.975,115.175,0.861,2,1.0,3.5,3.5,0.4,21.71,21.7,-0.01,0.0977,0.1036,0.0059,23.0,23.0,0.0,0.2234,0.2234,0.0,0.3566,0.3566,0.0,43,73,30,0.91,0.909,0.47,0.532,0.91,0.909,0.729,0.802,0.638,0.631,0.968,0.967,0.901,0.901,0.509,0.634,1.0,1.0,1.0,1.0
2002-03-23,S171254,-32.0667,115.2333,0.874,6,0.755,-32.025,115.175,0.906,5,0.814,3.9,2.5,-3.0,21.82,21.98,0.16,0.1379,0.1423,0.0044,40.1,49.4,9.3,0.3516,0.3424,-0.0092,0.0675,0.2346,0.1671,46,48,2,0.934,0.964,0.596,0.964,0.934,0.964,0.999,0.999,0.765,0.801,0.765,0.695,0.464,0.989,0.173,0.22,1.0,1.0,0.176,1.0
2002-03-23,S92791,-31.9333,115.25,0.94,6,0.85,-31.925,115.175,0.953,7,0.698,3.8,0.5,-3.8,22.19,22.45,0.26,0.164,0.1611,-0.0029,38.0,47.0,9.0,0.3577,0.3433,-0.0144,0.083,0.2655,0.1825,126,120,-6,0.986,0.999,0.986,0.999,0.986,0.999,0.941,0.969,0.813,0.817,0.747,0.672,0.617,0.989,0.441,0.729,1.0,1.0,0.69,1.0
2003-03-03,B000731,-32.0667,115.2333,0.844,5,0.702,-32.125,115.275,0.879,4,0.596,4.1,-3.5,2.1,21.88,21.82,-0.06,0.1492,0.1645,0.0153,20.9,19.8,-1.1,0.1834,0.1819,-0.0015,0.0622,0.0784,0.0162,46,37,-9,0.944,0.934,0.256,0.078,0.708,0.604,0.989,0.948,0.647,0.628,0.985,0.998,0.3,0.221,0.043,0.111,1.0,1.0,0.176,0.072
2003-03-15,B001325,-31.8833,115.1833,0.813,4,0.775,-31.925,115.225,0.879,5,0.715,3.3,-2.5,2.1,23.74,23.71,-0.03,0.1593,0.1466,-0.0127,16.5,18.9,2.4,0.2927,0.2927,0.0,0.0453,0.1441,0.0988,151,131,-20,0.922,0.926,0.417,0.613,0.922,0.926,0.975,0.99,0.847,0.835,1.0,1.0,0.125,0.362,0.374,0.072,1.0,1.0,0.116,0.69
